QUESTION,ANSWER_SENTENCE,Q_TEXT,A_TEXT,ENT_SCORE
bleaching your hair ,"A change in the physical state of a molecule, object, wave or system.",bleaching,change,0.2083
bleaching your hair ,"A change at the molecular, atomic or subcellular level in an organism.",bleaching,change,0.2083
bleaching your hair ,"Chemical reactions can be either spontaneous, requiring no input of energy, or non-spontaneous, typically following the input of some type of energy, such as heat, light or electricity",bleaching,chemical reactions,0.0000
bleaching your hair ,"Chemical reactions are usually characterized by a chemical change, and they yield one or more products, which usually have properties different from the reactants",bleaching,chemical reactions | chemical change,0.0448
bleaching your hair ,"Chemical changes occur when a substance combines with another to form a new substance, called synthesis or, alternatively, decomposes into two or more different substances",bleaching,combines | synthesis | decomposes,0.0000
bleaching your hair ,A chemical reaction is a process in which one or more substances are converted into other substances.,bleaching,converted,0.0000
bleaching your hair ,A physical change involves a change in physical properties,bleaching,physical change,0.0980
bleaching your hair ,Physical changes occur when objects or substances undergo a change that does not change their chemical composition,bleaching,physical changes,0.0980
bleaching your hair ,"Physical changes are used to separate mixtures into their component compounds, but can not usually be used to separate compounds into chemical elements or simpler compounds.",bleaching,physical changes,0.0980
bleaching your hair ,"Physical changes are changes affecting the form of a chemical substance, but not its chemical composition.",bleaching,physical changes,0.0980
Burning a match is a ,"A change in the physical state of a molecule, object, wave or system.",burning,change,0.0256
Burning a match is a ,"A change at the molecular, atomic or subcellular level in an organism.",burning,change,0.0256
Burning a match is a ,"Chemical reactions can be either spontaneous, requiring no input of energy, or non-spontaneous, typically following the input of some type of energy, such as heat, light or electricity",burning,chemical reactions,0.0000
Burning a match is a ,"Chemical reactions are usually characterized by a chemical change, and they yield one or more products, which usually have properties different from the reactants",burning,chemical reactions | chemical change,0.0055
Burning a match is a ,"Chemical changes occur when a substance combines with another to form a new substance, called synthesis or, alternatively, decomposes into two or more different substances",burning,combines | synthesis | decomposes,0.0000
Burning a match is a ,A chemical reaction is a process in which one or more substances are converted into other substances.,burning,converted,0.0000
Burning a match is a ,A physical change involves a change in physical properties,burning,physical change,0.0120
Burning a match is a ,Physical changes occur when objects or substances undergo a change that does not change their chemical composition,burning,physical changes,0.0120
Burning a match is a ,"Physical changes are used to separate mixtures into their component compounds, but can not usually be used to separate compounds into chemical elements or simpler compounds.",burning,physical changes,0.0120
Burning a match is a ,"Physical changes are changes affecting the form of a chemical substance, but not its chemical composition.",burning,physical changes,0.0120
corroding metal ,"A change in the physical state of a molecule, object, wave or system.",corroding,change,0.6667
corroding metal ,"A change at the molecular, atomic or subcellular level in an organism.",corroding,change,0.6667
corroding metal ,"Chemical reactions can be either spontaneous, requiring no input of energy, or non-spontaneous, typically following the input of some type of energy, such as heat, light or electricity",corroding,chemical reactions,0.0000
corroding metal ,"Chemical reactions are usually characterized by a chemical change, and they yield one or more products, which usually have properties different from the reactants",corroding,chemical reactions | chemical change,0.1433
corroding metal ,"Chemical changes occur when a substance combines with another to form a new substance, called synthesis or, alternatively, decomposes into two or more different substances",corroding,combines | synthesis | decomposes,0.0000
corroding metal ,A chemical reaction is a process in which one or more substances are converted into other substances.,corroding,converted,0.0000
corroding metal ,A physical change involves a change in physical properties,corroding,physical change,0.3137
corroding metal ,Physical changes occur when objects or substances undergo a change that does not change their chemical composition,corroding,physical changes,0.3137
corroding metal ,"Physical changes are used to separate mixtures into their component compounds, but can not usually be used to separate compounds into chemical elements or simpler compounds.",corroding,physical changes,0.3137
corroding metal ,"Physical changes are changes affecting the form of a chemical substance, but not its chemical composition.",corroding,physical changes,0.3137
fireworks exploding ,"A change in the physical state of a molecule, object, wave or system.",exploding,change,0.5216
fireworks exploding ,"A change at the molecular, atomic or subcellular level in an organism.",exploding,change,0.5216
fireworks exploding ,"Chemical reactions can be either spontaneous, requiring no input of energy, or non-spontaneous, typically following the input of some type of energy, such as heat, light or electricity",exploding,chemical reactions,0.0000
fireworks exploding ,"Chemical reactions are usually characterized by a chemical change, and they yield one or more products, which usually have properties different from the reactants",exploding,chemical reactions | chemical change,0.1121
fireworks exploding ,"Chemical changes occur when a substance combines with another to form a new substance, called synthesis or, alternatively, decomposes into two or more different substances",exploding,combines | synthesis | decomposes,0.0000
fireworks exploding ,A chemical reaction is a process in which one or more substances are converted into other substances.,exploding,converted,0.0000
fireworks exploding ,A physical change involves a change in physical properties,exploding,physical change,0.2454
fireworks exploding ,Physical changes occur when objects or substances undergo a change that does not change their chemical composition,exploding,physical changes,0.2454
fireworks exploding ,"Physical changes are used to separate mixtures into their component compounds, but can not usually be used to separate compounds into chemical elements or simpler compounds.",exploding,physical changes,0.2454
fireworks exploding ,"Physical changes are changes affecting the form of a chemical substance, but not its chemical composition.",exploding,physical changes,0.2454
fireworks exploding ,"Physical changes are changes affecting the form of a chemical substance, but not its chemical composition.",fireworks,chemical substance,1.0000
fireworks exploding ,"A change in the physical state of a molecule, object, wave or system.",fireworks,molecule | object | wave | system,0.0000
fireworks exploding ,Physical changes occur when objects or substances undergo a change that does not change their chemical composition,fireworks,objects | substances,0.5318
fireworks exploding ,A chemical reaction is a process in which one or more substances are converted into other substances.,fireworks,one or more substances,0.3503
fireworks exploding ,"A change at the molecular, atomic or subcellular level in an organism.",fireworks,organism,0.0000
fireworks exploding ,"Chemical changes occur when a substance combines with another to form a new substance, called synthesis or, alternatively, decomposes into two or more different substances",fireworks,substance,1.0000
A giraffe's long neck is a(n) ,A primary defense against predators throughout the animal kingdom (and against the enemy during human warfare) is to avoid detection or recognition through camouflage,giraffe's long neck,animal,1.0000
A giraffe's long neck is a(n) ,"Something, that makes an animal, person, building etc. difficult for enemies to see.",giraffe's long neck,animal | person | building,0.3478
A giraffe's long neck is a(n) ,The last method of camouflage animals might use is called mimicry.,giraffe's long neck,animals,1.0000
A giraffe's long neck is a(n) ,"Animals use concealing or disruptive coloration, disguise, and mimicry to protect themselves.",giraffe's long neck,animals,1.0000
A giraffe's long neck is a(n) ,The adaptation of animals are the features an animal has to live in their environment.,giraffe's long neck,animals,1.0000
A giraffe's long neck is a(n) ,Some animals use camouflage to hide from their enemies.,giraffe's long neck,animals,1.0000
A giraffe's long neck is a(n) ,Most animals of the open sea use at least one of these methods to camouflage themselves.,giraffe's long neck,animals,1.0000
A giraffe's long neck is a(n) ,Prey animals often use camouflage to hide from predators.,giraffe's long neck,animals,1.0000
A giraffe's long neck is a(n) ,There are four basic ways animals camouflage themselves.,giraffe's long neck,animals,1.0000
A giraffe's long neck is a(n) ,Animals that change color or are of a color similar to their environment can camouflage themselves so that they cannot be easily seen.,giraffe's long neck,animals,1.0000
A giraffe's long neck is a(n) ,Camouflage is an adaptation that helps many animals avoid detection by predators or prey because it allows them to blend in to their natural environments.,giraffe's long neck,animals,1.0000
A giraffe's long neck is a(n) ,An example of animals that uses both aggressive and defensive camouflage is octopuses.,giraffe's long neck,animals | octopuses,0.3694
A giraffe's long neck is a(n) ,Animals and plants are adapted to the conditions of the habitats in which they live.,giraffe's long neck,animals | plants,0.5053
A giraffe's long neck is a(n) ,Other flowers use mimicry to attract pollinators.,giraffe's long neck,flowers,0.0000
A giraffe's long neck is a(n) ,The leopard's camouflage makes it blend in with the forest shadows.,giraffe's long neck,leopard,0.0000
A giraffe's long neck is a(n) ,The resemblance of one organism to another or to an object in its surroundings for concealment and protection from predators.,giraffe's long neck,organism,1.0000
A giraffe's long neck is a(n) ,Inherited characteristic of an organism that enhances its survival and reproduction in specific environments.,giraffe's long neck,organism,1.0000
A giraffe's long neck is a(n) ,Even well watered plants may wilt if the plant cannot adapt it transpiration rate.,giraffe's long neck,plants,0.0000
A giraffe's long neck is a(n) ,Plants and animals have adapted to changes in the environment for millions of years.,giraffe's long neck,plants | animals,0.5053
A giraffe's long neck is a(n) ,"Predators may also use mimicry to lure their prey, however.",giraffe's long neck,predators,0.0000
A giraffe's long neck is a(n) ,Rabbits use their white fur as camouflage in the snow.,giraffe's long neck,rabbits,0.0000
A giraffe's long neck is a(n) ,Structural adaptation that enables species to blend with their surroundings,giraffe's long neck,species,0.0000
bleaching your hair ,"Physical changes are changes affecting the form of a chemical substance, but not its chemical composition.",hair,chemical substance,0.0000
bleaching your hair ,"A change in the physical state of a molecule, object, wave or system.",hair,molecule | object | wave | system,0.2095
bleaching your hair ,Physical changes occur when objects or substances undergo a change that does not change their chemical composition,hair,objects | substances,0.4123
bleaching your hair ,A chemical reaction is a process in which one or more substances are converted into other substances.,hair,one or more substances,0.0000
bleaching your hair ,"A change at the molecular, atomic or subcellular level in an organism.",hair,organism,0.0000
bleaching your hair ,"Chemical changes occur when a substance combines with another to form a new substance, called synthesis or, alternatively, decomposes into two or more different substances",hair,substance,0.0000
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",The change of a liquid into a vapor at a temperature below the boiling point.,heated,change,0.1733
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",The change of state from water to water vapor is called evaporation.,heated,change of state | evaporation,0.0374
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",The energy from the sun heated the water and caused it to evaporate - change from liquid water to water vapor.,heated,change | evaporate,0.0563
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ","The changing of a liquid into a gas, often under the influence of heat (as in the boiling of water).",heated,changing,0.1733
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",Liquid water changing to water vapor is evaporation.,heated,changing | evaporation,0.0585
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",condensation is the process in which water vapor in the air is changed into liquid water.,heated,condensation,0.0000
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",Water drops on the outside of a cold glass of water are condensed water.,heated,condensed,0.0000
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",The water in a cloud comes from water vapor in the air that has condensed.,heated,condensed,0.0000
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",The condensed water molecules form liquid water droplets.,heated,condensed | form,0.0000
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",Water vapour condenses to liquid water.,heated,condenses,0.0000
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ","Essential oils evaporate readily and are easily damaged by light, extremes of temperature and prolonged exposure to oxygen in the air.",heated,evaporate,0.0000
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",Surface water is evaporated from the earth by the energy of the sun.,heated,evaporated,0.0000
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",The water evaporated back into water vapor in the air.,heated,evaporated,0.0000
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",Water evaporates as water vapor into the air.,heated,evaporates,0.0000
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",Clouds get their water from evaporation.,heated,evaporation,0.0000
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",Water from the oceans enters the atmosphere through evaporation.,heated,evaporation,0.0000
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",Evaporation and condensation are two processes through which matter changes from one state to another.,heated,evaporation | changes,0.0585
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ","In evaporation, matter changes from a liquid to a gas.",heated,evaporation | changes,0.0585
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",Evaporation involves changing water from its liquid state to a gaseous state (vapor),heated,evaporation | changing,0.0585
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",evaporation - the process of extracting moisture,heated,evaporation | extracting,0.0000
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",Evaporation is a type of vaporization of a liquid that occurs from the surface of a liquid into a gaseous phase that is not saturated with the evaporating substance.,heated,evaporation | vaporization,0.0000
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",The liquid and solid water particles that fall from clouds and reach the ground are known as precipitation,heated,fall | precipitation,0.0000
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",Different forms of precipitation include: Rain is liquid water falling from the sky.,heated,falling,0.0000
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ","falling products of condensation of water vapour in the atmosphere, as rain, snow, or hail.",heated,falling,0.0000
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",precipitation Water that falls to the Earth from the sky.,heated,falls,0.0000
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",Precipitation is the term used to describe water (moisture) that falls from the sky.,heated,falls | precipitation,0.0000
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",precipitation is any product of the condensation of atmospheric water vapour that falls under gravity.,heated,falls | precipitation,0.0000
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",Condensation is defined as the phase change from gas (vapor) to liquid.,heated,phase change,0.0781
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ","Also when the air cannot hold any more water, it precipitates.",heated,precipitates,0.0000
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",The plant will then use the stored water in times or seasons of low precipitation.,heated,precipitation,0.0000
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",precipitation Water falling to the Earth.,heated,precipitation | falling,0.0000
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",Rain is a form of precipitation in which water falls back to earth as a liquid.,heated,precipitation | falls back,0.0000
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",Evaporation is the process of a substance in a liquid state changing to a gaseous state due to an increase in temperature and/or pressure.,heated,process | changing | evaporation,0.0585
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",The process of liquid water changing into water vapor is called evaporation.,heated,process | evaporation | changing,0.0585
mixing lemonade powder into water ,"Physical changes are changes affecting the form of a chemical substance, but not its chemical composition.",lemonade powder,chemical substance,0.6304
mixing lemonade powder into water ,"A change in the physical state of a molecule, object, wave or system.",lemonade powder,molecule | object | wave | system,0.0004
mixing lemonade powder into water ,Physical changes occur when objects or substances undergo a change that does not change their chemical composition,lemonade powder,objects | substances,0.5615
mixing lemonade powder into water ,A chemical reaction is a process in which one or more substances are converted into other substances.,lemonade powder,one or more substances,0.7007
mixing lemonade powder into water ,"A change at the molecular, atomic or subcellular level in an organism.",lemonade powder,organism,0.0000
mixing lemonade powder into water ,"Chemical changes occur when a substance combines with another to form a new substance, called synthesis or, alternatively, decomposes into two or more different substances",lemonade powder,substance,2.0000
Burning a match is a ,"Physical changes are changes affecting the form of a chemical substance, but not its chemical composition.",match,chemical substance,0.0000
Burning a match is a ,"A change in the physical state of a molecule, object, wave or system.",match,molecule | object | wave | system,0.0281
Burning a match is a ,Physical changes occur when objects or substances undergo a change that does not change their chemical composition,match,objects | substances,0.0553
Burning a match is a ,A chemical reaction is a process in which one or more substances are converted into other substances.,match,one or more substances,0.0000
Burning a match is a ,"A change at the molecular, atomic or subcellular level in an organism.",match,organism,0.0039
Burning a match is a ,"Chemical changes occur when a substance combines with another to form a new substance, called synthesis or, alternatively, decomposes into two or more different substances",match,substance,0.0000
corroding metal ,"Physical changes are changes affecting the form of a chemical substance, but not its chemical composition.",metal,chemical substance,0.1306
corroding metal ,"A change in the physical state of a molecule, object, wave or system.",metal,molecule | object | wave | system,0.0000
corroding metal ,Physical changes occur when objects or substances undergo a change that does not change their chemical composition,metal,objects | substances,0.1330
corroding metal ,A chemical reaction is a process in which one or more substances are converted into other substances.,metal,one or more substances,0.0876
corroding metal ,"A change at the molecular, atomic or subcellular level in an organism.",metal,organism,0.0000
corroding metal ,"Chemical changes occur when a substance combines with another to form a new substance, called synthesis or, alternatively, decomposes into two or more different substances",metal,substance,0.2500
mixing lemonade powder into water ,"A change in the physical state of a molecule, object, wave or system.",mixing | into water,change,0.2148
mixing lemonade powder into water ,"A change at the molecular, atomic or subcellular level in an organism.",mixing | into water,change,0.2148
mixing lemonade powder into water ,"Chemical reactions can be either spontaneous, requiring no input of energy, or non-spontaneous, typically following the input of some type of energy, such as heat, light or electricity",mixing | into water,chemical reactions,0.0679
mixing lemonade powder into water ,"Chemical reactions are usually characterized by a chemical change, and they yield one or more products, which usually have properties different from the reactants",mixing | into water,chemical reactions | chemical change,0.0832
mixing lemonade powder into water ,"Chemical changes occur when a substance combines with another to form a new substance, called synthesis or, alternatively, decomposes into two or more different substances",mixing | into water,combines | synthesis | decomposes,0.0100
mixing lemonade powder into water ,A chemical reaction is a process in which one or more substances are converted into other substances.,mixing | into water,converted,0.0000
mixing lemonade powder into water ,A physical change involves a change in physical properties,mixing | into water,physical change,0.1011
mixing lemonade powder into water ,Physical changes occur when objects or substances undergo a change that does not change their chemical composition,mixing | into water,physical changes,0.1011
mixing lemonade powder into water ,"Physical changes are used to separate mixtures into their component compounds, but can not usually be used to separate compounds into chemical elements or simpler compounds.",mixing | into water,physical changes,0.1011
mixing lemonade powder into water ,"Physical changes are changes affecting the form of a chemical substance, but not its chemical composition.",mixing | into water,physical changes,0.1011
"To separate a mixture of paper clips and sand, Joe should use: ",the action of purifying a liquid by a process of heating and cooling.,mixture of paper clips and sand,liquid,0.0000
"To separate a mixture of paper clips and sand, Joe should use: ",Magnetic separation is a process in which magnetically susceptible material is extracted from a mixture using a magnetic force.,mixture of paper clips and sand,magnetically susceptible material,0.0349
"To separate a mixture of paper clips and sand, Joe should use: ","Decantation is a process for the separation of mixtures, by removing a layer of liquid, generally one from which a precipitate has settled.",mixture of paper clips and sand,mixtures,1.0000
squeezing oranges to make orange juice ,A physical change involves a change in physical properties,orange juice,change in physical properties,0.0263
squeezing oranges to make orange juice ,"Chemical changes occur when a substance combines with another to form a new substance, called synthesis or, alternatively, decomposes into two or more different substances",orange juice,new substance | two or more different substances,0.3802
squeezing oranges to make orange juice ,A chemical reaction is a process in which one or more substances are converted into other substances.,orange juice,other substances,1.2108
squeezing oranges to make orange juice ,"Physical changes are used to separate mixtures into their component compounds, but can not usually be used to separate compounds into chemical elements or simpler compounds.",orange juice,separate mixtures,0.0000
squeezing oranges to make orange juice ,"Physical changes are changes affecting the form of a chemical substance, but not its chemical composition.",oranges,chemical substance,0.0031
squeezing oranges to make orange juice ,"A change in the physical state of a molecule, object, wave or system.",oranges,molecule | object | wave | system,0.0690
squeezing oranges to make orange juice ,Physical changes occur when objects or substances undergo a change that does not change their chemical composition,oranges,objects | substances,0.1357
squeezing oranges to make orange juice ,A chemical reaction is a process in which one or more substances are converted into other substances.,oranges,one or more substances,0.0021
squeezing oranges to make orange juice ,"A change at the molecular, atomic or subcellular level in an organism.",oranges,organism,0.0237
squeezing oranges to make orange juice ,"Chemical changes occur when a substance combines with another to form a new substance, called synthesis or, alternatively, decomposes into two or more different substances",oranges,substance,0.0059
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,The change of a liquid into a vapor at a temperature below the boiling point.,process in the water cycle,change,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,The change of state from water to water vapor is called evaporation.,process in the water cycle,change of state | evaporation,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,The energy from the sun heated the water and caused it to evaporate - change from liquid water to water vapor.,process in the water cycle,change | evaporate,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. ""","The changing of a liquid into a gas, often under the influence of heat (as in the boiling of water).",process in the water cycle,changing,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,Liquid water changing to water vapor is evaporation.,process in the water cycle,changing | evaporation,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,condensation is the process in which water vapor in the air is changed into liquid water.,process in the water cycle,condensation,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,Water drops on the outside of a cold glass of water are condensed water.,process in the water cycle,condensed,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,The water in a cloud comes from water vapor in the air that has condensed.,process in the water cycle,condensed,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,The condensed water molecules form liquid water droplets.,process in the water cycle,condensed | form,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,Water vapour condenses to liquid water.,process in the water cycle,condenses,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. ""","Essential oils evaporate readily and are easily damaged by light, extremes of temperature and prolonged exposure to oxygen in the air.",process in the water cycle,evaporate,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,Surface water is evaporated from the earth by the energy of the sun.,process in the water cycle,evaporated,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,The water evaporated back into water vapor in the air.,process in the water cycle,evaporated,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,Water evaporates as water vapor into the air.,process in the water cycle,evaporates,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,Clouds get their water from evaporation.,process in the water cycle,evaporation,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,Water from the oceans enters the atmosphere through evaporation.,process in the water cycle,evaporation,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,Evaporation and condensation are two processes through which matter changes from one state to another.,process in the water cycle,evaporation | changes,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. ""","In evaporation, matter changes from a liquid to a gas.",process in the water cycle,evaporation | changes,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,Evaporation involves changing water from its liquid state to a gaseous state (vapor),process in the water cycle,evaporation | changing,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,evaporation - the process of extracting moisture,process in the water cycle,evaporation | extracting,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,Evaporation is a type of vaporization of a liquid that occurs from the surface of a liquid into a gaseous phase that is not saturated with the evaporating substance.,process in the water cycle,evaporation | vaporization,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,The liquid and solid water particles that fall from clouds and reach the ground are known as precipitation,process in the water cycle,fall | precipitation,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,Different forms of precipitation include: Rain is liquid water falling from the sky.,process in the water cycle,falling,0.0000
