QUESTION,ANSWER_SENTENCE,Q_TEXT,A_TEXT,ENT_SCORE
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. ""","falling products of condensation of water vapour in the atmosphere, as rain, snow, or hail.",process in the water cycle,falling,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,precipitation Water that falls to the Earth from the sky.,process in the water cycle,falls,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,Precipitation is the term used to describe water (moisture) that falls from the sky.,process in the water cycle,falls | precipitation,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,precipitation is any product of the condensation of atmospheric water vapour that falls under gravity.,process in the water cycle,falls | precipitation,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,Condensation is defined as the phase change from gas (vapor) to liquid.,process in the water cycle,phase change,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. ""","Also when the air cannot hold any more water, it precipitates.",process in the water cycle,precipitates,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,The plant will then use the stored water in times or seasons of low precipitation.,process in the water cycle,precipitation,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,precipitation Water falling to the Earth.,process in the water cycle,precipitation | falling,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,Rain is a form of precipitation in which water falls back to earth as a liquid.,process in the water cycle,precipitation | falls back,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,Evaporation is the process of a substance in a liquid state changing to a gaseous state due to an increase in temperature and/or pressure.,process in the water cycle,process | changing | evaporation,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,The process of liquid water changing into water vapor is called evaporation.,process in the water cycle,process | evaporation | changing,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,Most of the available water is used in transpiration to pull nutrients into the plant.,process in the water cycle,transpiration,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. ""","During transpiration, the plant loses water.",process in the water cycle,transpiration,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,Water and its Movement Through the Plant Roughly 90% of the water that enters a plant is lost via transpiration.,process in the water cycle,transpiration | movement,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,The main driving force of water uptake and transport into a plant is transpiration of water from leaves.,process in the water cycle,transpiration | uptake,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,Part of the water cycle that involves the loss of water from plants due to evaporation.,process in the water cycle,water cycle,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,Condensation is defined as the phase change from gas (vapor) to liquid.,"rain, sleet, hail, and snow",gas,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,Evaporation is a type of vaporization of a liquid that occurs from the surface of a liquid into a gaseous phase that is not saturated with the evaporating substance.,"rain, sleet, hail, and snow",liquid,0.6519
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,The change of a liquid into a vapor at a temperature below the boiling point.,"rain, sleet, hail, and snow",liquid,0.6519
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. ""","The changing of a liquid into a gas, often under the influence of heat (as in the boiling of water).","rain, sleet, hail, and snow",liquid,0.6519
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,Liquid water changing to water vapor is evaporation.,"rain, sleet, hail, and snow",liquid water,0.2248
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,The energy from the sun heated the water and caused it to evaporate - change from liquid water to water vapor.,"rain, sleet, hail, and snow",liquid water,0.2248
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,The process of liquid water changing into water vapor is called evaporation.,"rain, sleet, hail, and snow",liquid water,0.2248
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,The liquid and solid water particles that fall from clouds and reach the ground are known as precipitation,"rain, sleet, hail, and snow",liquid | solid water,0.1455
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,Evaporation and condensation are two processes through which matter changes from one state to another.,"rain, sleet, hail, and snow",matter,0.0083
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. ""","In evaporation, matter changes from a liquid to a gas.","rain, sleet, hail, and snow",matter | liquid,0.2201
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,evaporation - the process of extracting moisture,"rain, sleet, hail, and snow",moisture,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. ""","Essential oils evaporate readily and are easily damaged by light, extremes of temperature and prolonged exposure to oxygen in the air.","rain, sleet, hail, and snow",oils,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,Most of the available water is used in transpiration to pull nutrients into the plant.,"rain, sleet, hail, and snow",plant,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. ""","During transpiration, the plant loses water.","rain, sleet, hail, and snow",plant,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,Water and its Movement Through the Plant Roughly 90% of the water that enters a plant is lost via transpiration.,"rain, sleet, hail, and snow",plant,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,The main driving force of water uptake and transport into a plant is transpiration of water from leaves.,"rain, sleet, hail, and snow",plant,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,Part of the water cycle that involves the loss of water from plants due to evaporation.,"rain, sleet, hail, and snow",plants,0.0000
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,Evaporation is the process of a substance in a liquid state changing to a gaseous state due to an increase in temperature and/or pressure.,"rain, sleet, hail, and snow",substance | liquid state,0.1468
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,Surface water is evaporated from the earth by the energy of the sun.,"rain, sleet, hail, and snow",surface water,0.0039
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,Clouds get their water from evaporation.,"rain, sleet, hail, and snow",water,0.0083
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,The change of state from water to water vapor is called evaporation.,"rain, sleet, hail, and snow",water,0.0083
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,The water evaporated back into water vapor in the air.,"rain, sleet, hail, and snow",water,0.0083
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,Water evaporates as water vapor into the air.,"rain, sleet, hail, and snow",water,0.0083
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,Water from the oceans enters the atmosphere through evaporation.,"rain, sleet, hail, and snow",water,0.0083
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,precipitation Water falling to the Earth.,"rain, sleet, hail, and snow",water,0.0083
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,precipitation Water that falls to the Earth from the sky.,"rain, sleet, hail, and snow",water,0.0083
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,Rain is a form of precipitation in which water falls back to earth as a liquid.,"rain, sleet, hail, and snow",water,0.0083
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. ""","Also when the air cannot hold any more water, it precipitates.","rain, sleet, hail, and snow",water,0.0083
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,Precipitation is the term used to describe water (moisture) that falls from the sky.,"rain, sleet, hail, and snow",water,0.0083
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,Different forms of precipitation include: Rain is liquid water falling from the sky.,"rain, sleet, hail, and snow",water,0.0083
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,Water drops on the outside of a cold glass of water are condensed water.,"rain, sleet, hail, and snow",water,0.0083
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,The condensed water molecules form liquid water droplets.,"rain, sleet, hail, and snow",water molecules,0.0032
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,condensation is the process in which water vapor in the air is changed into liquid water.,"rain, sleet, hail, and snow",water vapor,0.0016
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,The water in a cloud comes from water vapor in the air that has condensed.,"rain, sleet, hail, and snow",water vapor,0.0016
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. ""","falling products of condensation of water vapour in the atmosphere, as rain, snow, or hail.","rain, sleet, hail, and snow",water vapour,0.0031
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,precipitation is any product of the condensation of atmospheric water vapour that falls under gravity.,"rain, sleet, hail, and snow",water vapour,0.0031
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,Water vapour condenses to liquid water.,"rain, sleet, hail, and snow",water vapour,0.0031
"""Rain, sleet, hail, and snow are all part of the <span class=""""blank""""> </span> process in the water cycle. """,Evaporation involves changing water from its liquid state to a gaseous state (vapor),"rain, sleet, hail, and snow",water | liquid state,0.1581
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",Clouds get their water from evaporation.,rising into the air as a gas (like water vapor),clouds,0.0007
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ","In evaporation, matter changes from a liquid to a gas.",rising into the air as a gas (like water vapor),gas,1.0000
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ","The changing of a liquid into a gas, often under the influence of heat (as in the boiling of water).",rising into the air as a gas (like water vapor),gas,1.0000
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",Evaporation is a type of vaporization of a liquid that occurs from the surface of a liquid into a gaseous phase that is not saturated with the evaporating substance.,rising into the air as a gas (like water vapor),gaseous phase,0.0000
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",Evaporation is the process of a substance in a liquid state changing to a gaseous state due to an increase in temperature and/or pressure.,rising into the air as a gas (like water vapor),gaseous state,0.2756
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",Evaporation involves changing water from its liquid state to a gaseous state (vapor),rising into the air as a gas (like water vapor),gaseous state | vapor,0.3862
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",Condensation is defined as the phase change from gas (vapor) to liquid.,rising into the air as a gas (like water vapor),liquid,0.1352
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",condensation is the process in which water vapor in the air is changed into liquid water.,rising into the air as a gas (like water vapor),liquid water,0.4285
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",Water vapour condenses to liquid water.,rising into the air as a gas (like water vapor),liquid water,0.4285
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",The condensed water molecules form liquid water droplets.,rising into the air as a gas (like water vapor),liquid water,0.4285
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",Evaporation and condensation are two processes through which matter changes from one state to another.,rising into the air as a gas (like water vapor),one state to another,0.2473
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",The liquid and solid water particles that fall from clouds and reach the ground are known as precipitation,rising into the air as a gas (like water vapor),reach the ground,0.1832
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",The change of a liquid into a vapor at a temperature below the boiling point.,rising into the air as a gas (like water vapor),vapor,1.0000
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",The water in a cloud comes from water vapor in the air that has condensed.,rising into the air as a gas (like water vapor),water,1.0000
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",Water drops on the outside of a cold glass of water are condensed water.,rising into the air as a gas (like water vapor),water drops,0.4480
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",Liquid water changing to water vapor is evaporation.,rising into the air as a gas (like water vapor),water vapor,1.0000
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",The change of state from water to water vapor is called evaporation.,rising into the air as a gas (like water vapor),water vapor,1.0000
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",The energy from the sun heated the water and caused it to evaporate - change from liquid water to water vapor.,rising into the air as a gas (like water vapor),water vapor,1.0000
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",The process of liquid water changing into water vapor is called evaporation.,rising into the air as a gas (like water vapor),water vapor,1.0000
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",The water evaporated back into water vapor in the air.,rising into the air as a gas (like water vapor),water vapor,1.0000
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",Water evaporates as water vapor into the air.,rising into the air as a gas (like water vapor),water vapor,1.0000
"To separate a mixture of paper clips and sand, Joe should use: ","Decantation is a process for the separation of mixtures, by removing a layer of liquid, generally one from which a precipitate has settled.",separate,decantation | separation,1.0000
"To separate a mixture of paper clips and sand, Joe should use: ",The Distillation is a process of separating the component substances from a liquid mixture by selective evaporation and condensation.,separate,distillation,0.0000
"To separate a mixture of paper clips and sand, Joe should use: ",Magnetic separation is a process in which magnetically susceptible material is extracted from a mixture using a magnetic force.,separate,magnetic separation,1.0000
"To separate a mixture of paper clips and sand, Joe should use: ",the action of purifying a liquid by a process of heating and cooling.,separate,purifying,0.0000
squeezing oranges to make orange juice ,"A change in the physical state of a molecule, object, wave or system.",squeezing,change,0.0003
squeezing oranges to make orange juice ,"A change at the molecular, atomic or subcellular level in an organism.",squeezing,change,0.0003
squeezing oranges to make orange juice ,"Chemical reactions can be either spontaneous, requiring no input of energy, or non-spontaneous, typically following the input of some type of energy, such as heat, light or electricity",squeezing,chemical reactions,0.0000
squeezing oranges to make orange juice ,"Chemical reactions are usually characterized by a chemical change, and they yield one or more products, which usually have properties different from the reactants",squeezing,chemical reactions | chemical change,0.0001
squeezing oranges to make orange juice ,"Chemical changes occur when a substance combines with another to form a new substance, called synthesis or, alternatively, decomposes into two or more different substances",squeezing,combines | synthesis | decomposes,0.0000
squeezing oranges to make orange juice ,A chemical reaction is a process in which one or more substances are converted into other substances.,squeezing,converted,0.0000
squeezing oranges to make orange juice ,A physical change involves a change in physical properties,squeezing,physical change,0.0002
squeezing oranges to make orange juice ,Physical changes occur when objects or substances undergo a change that does not change their chemical composition,squeezing,physical changes,0.0002
squeezing oranges to make orange juice ,"Physical changes are used to separate mixtures into their component compounds, but can not usually be used to separate compounds into chemical elements or simpler compounds.",squeezing,physical changes,0.0002
squeezing oranges to make orange juice ,"Physical changes are changes affecting the form of a chemical substance, but not its chemical composition.",squeezing,physical changes,0.0002
Thermal energy that travels from the sun to Earth is transferred by ,Students should realize that water is better than air at conducting energy.,thermal energy,energy,1.0000
Thermal energy that travels from the sun to Earth is transferred by ,Some materials conduct energy better than others.,thermal energy,energy,1.0000
Thermal energy that travels from the sun to Earth is transferred by ,"emit (energy, especially light or heat) in the form of rays or waves.",thermal energy,energy,1.0000
Thermal energy that travels from the sun to Earth is transferred by ,"the complete process in which energy is emitted by one body, transmitted through an intervening medium or space, and absorbed by another body.",thermal energy,energy,1.0000
Thermal energy that travels from the sun to Earth is transferred by ,the process in which energy is emitted as particles or waves.,thermal energy,energy,1.0000
Thermal energy that travels from the sun to Earth is transferred by ,The direct transfer of thermal motion (heat) between molecules of objects in direct contact with each other.,thermal energy,heat,0.8290
Thermal energy that travels from the sun to Earth is transferred by ,The particles move around from one place to another through the flow of thermal energy during convection.,thermal energy,particles,0.0000
Thermal energy that travels from the sun to Earth is transferred by ,The warmed surface water is then transferred downward into the water column by conduction and convection.,thermal energy,warmed surface water,0.0000
Thermal energy that travels from the sun to Earth is transferred by ,Heat was transferred from the flame of the stove to the water by convection.,thermal energy,water,0.0000
Thermal energy that travels from the sun to Earth is transferred by ,Water vapor in the air rises mostly by convection.,thermal energy,water vapor,0.0000
Thermal energy that travels from the sun to Earth is transferred by ,"Root functions include water and mineral conduction, food and water storage, and anchorage.",thermal energy,water | mineral,0.0000
Thermal energy that travels from the sun to Earth is transferred by ,Some materials conduct energy better than others.,transferred,conduct,0.0000
Thermal energy that travels from the sun to Earth is transferred by ,Students should realize that water is better than air at conducting energy.,transferred,conducting,0.0000
Thermal energy that travels from the sun to Earth is transferred by ,"Root functions include water and mineral conduction, food and water storage, and anchorage.",transferred,conduction,0.0000
Thermal energy that travels from the sun to Earth is transferred by ,The warmed surface water is then transferred downward into the water column by conduction and convection.,transferred,conduction,0.0000
Thermal energy that travels from the sun to Earth is transferred by ,The greater the movement of the air or water the greater the rate of heat removal by convection.,transferred,convection,0.0000
Thermal energy that travels from the sun to Earth is transferred by ,Water vapor in the air rises mostly by convection.,transferred,convection,0.0000
Thermal energy that travels from the sun to Earth is transferred by ,The warmed surface water is then transferred downward into the water column by conduction and convection.,transferred,convection,0.0000
Thermal energy that travels from the sun to Earth is transferred by ,Heat was transferred from the flame of the stove to the water by convection.,transferred,convection,0.0000
Thermal energy that travels from the sun to Earth is transferred by ,The particles move around from one place to another through the flow of thermal energy during convection.,transferred,convection,0.0000
Thermal energy that travels from the sun to Earth is transferred by ,The direct transfer of thermal motion (heat) between molecules of objects in direct contact with each other.,transferred,direct transfer,1.0000
Thermal energy that travels from the sun to Earth is transferred by ,diverge or spread from or as if from a central point.,transferred,diverge | spread,0.0000
Thermal energy that travels from the sun to Earth is transferred by ,"emit (energy, especially light or heat) in the form of rays or waves.",transferred,emit,0.0000
Thermal energy that travels from the sun to Earth is transferred by ,"the complete process in which energy is emitted by one body, transmitted through an intervening medium or space, and absorbed by another body.",transferred,process,0.0000
Thermal energy that travels from the sun to Earth is transferred by ,the process in which energy is emitted as particles or waves.,transferred,process,0.0000
Thermal energy that travels from the sun to Earth is transferred by ,radiation is the emission or transmission of energy in the form of waves or particles through space or through a material medium,transferred,radiation | emission | transmission,0.0000
Thermal energy that travels from the sun to Earth is transferred by ,The particles move around from one place to another through the flow of thermal energy during convection.,travels from the sun to earth,flow of thermal energy,0.0030
Thermal energy that travels from the sun to Earth is transferred by ,Heat was transferred from the flame of the stove to the water by convection.,travels from the sun to earth,from the flame of the stove,0.2462
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",Condensation is defined as the phase change from gas (vapor) to liquid.,water,gas,0.0000
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",Evaporation is a type of vaporization of a liquid that occurs from the surface of a liquid into a gaseous phase that is not saturated with the evaporating substance.,water,liquid,0.1352
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",The change of a liquid into a vapor at a temperature below the boiling point.,water,liquid,0.1352
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ","The changing of a liquid into a gas, often under the influence of heat (as in the boiling of water).",water,liquid,0.1352
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",Liquid water changing to water vapor is evaporation.,water,liquid water,1.0000
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",The energy from the sun heated the water and caused it to evaporate - change from liquid water to water vapor.,water,liquid water,1.0000
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",The process of liquid water changing into water vapor is called evaporation.,water,liquid water,1.0000
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",The liquid and solid water particles that fall from clouds and reach the ground are known as precipitation,water,liquid | solid water,1.0000
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",Evaporation and condensation are two processes through which matter changes from one state to another.,water,matter,0.1442
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ","In evaporation, matter changes from a liquid to a gas.",water,matter | liquid,0.0753
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",evaporation - the process of extracting moisture,water,moisture,0.0000
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ","Essential oils evaporate readily and are easily damaged by light, extremes of temperature and prolonged exposure to oxygen in the air.",water,oils,0.0000
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",Evaporation is the process of a substance in a liquid state changing to a gaseous state due to an increase in temperature and/or pressure.,water,substance | liquid state,0.0535
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",Surface water is evaporated from the earth by the energy of the sun.,water,surface water,1.0000
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",Water drops on the outside of a cold glass of water are condensed water.,water,water,1.0000
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",precipitation Water falling to the Earth.,water,water,1.0000
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",precipitation Water that falls to the Earth from the sky.,water,water,1.0000
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",Rain is a form of precipitation in which water falls back to earth as a liquid.,water,water,1.0000
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ","Also when the air cannot hold any more water, it precipitates.",water,water,1.0000
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",Precipitation is the term used to describe water (moisture) that falls from the sky.,water,water,1.0000
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",Different forms of precipitation include: Rain is liquid water falling from the sky.,water,water,1.0000
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",Clouds get their water from evaporation.,water,water,1.0000
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",The change of state from water to water vapor is called evaporation.,water,water,1.0000
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",The water evaporated back into water vapor in the air.,water,water,1.0000
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",Water evaporates as water vapor into the air.,water,water,1.0000
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",Water from the oceans enters the atmosphere through evaporation.,water,water,1.0000
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",The condensed water molecules form liquid water droplets.,water,water molecules,1.0000
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",condensation is the process in which water vapor in the air is changed into liquid water.,water,water vapor,1.0000
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",The water in a cloud comes from water vapor in the air that has condensed.,water,water vapor,1.0000
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",Water vapour condenses to liquid water.,water,water vapour,1.0000
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ","falling products of condensation of water vapour in the atmosphere, as rain, snow, or hail.",water,water vapour,1.0000
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",precipitation is any product of the condensation of atmospheric water vapour that falls under gravity.,water,water vapour,1.0000
"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",Evaporation involves changing water from its liquid state to a gaseous state (vapor),water,water | liquid state,1.0000